id	name	name_cn	kind	lvl	lvl_req	group	mod	param	min	max	freq	class_only	class	item_types	etypes
290	of Dexterity	敏捷 1	suf	1	1	17	dex	0	1	1	4	0		boot;glov	
291	of Dexterity	敏捷 1	suf	1	1	17	dex	0	1	1	4	0		ring	
292	of Strength	力量 1	suf	1	1	31	str	0	1	1	4	0		glov	
293	of Strength	力量 1	suf	1	1	31	str	0	1	1	4	0		ring	
294	of Thorns	荆棘反弹 1	suf	1	1	6	thorns	0	1	1	4	0		tors;belt;shld	
295	of Frost	dmg-cold 1	suf	1	1	10	dmg-cold	25	1	1	4	0		weap	staf;wand;orb
296	of Flame	dmg-fire 1~2	suf	1	1	12	dmg-fire	0	1	2	4	0		weap	staf;wand;orb
297	of Blight	dmg-pois 8	suf	1	1	16	dmg-pois	50	8	8	4	0		weap	scep;staf;orb
298	of Shock	dmg-ltng 1~3	suf	1	1	13	dmg-ltng	0	1	3	4	0		weap	staf;wand;orb
299	of Regeneration	生命回复 2	suf	1	1	19	regen	0	2	2	3	0		amul;circ	
300	of Energy	精力 1	suf	1	1	23	enr	0	1	1	4	0		amul;orb;circ;wand;staf;helm;ring	
301	of Light	光照范围 1	suf	1	1	25	light	0	1	1	4	0		ring;amul	
